lat1,lon1,lat2,lon2,distance
36.1969643,5.3912476,36.1954436,5.3945107,0.33813000788626263
36.1928728,5.3930599,36.192528,5.3932856,0.043361079452135715
36.1928728,5.3930599,36.193504,5.3948021,0.1714219884103209
36.1928728,5.3930599,36.1922511,5.3912151,0.1804111053181308
36.1971183,5.390344,36.1968364,5.3879813,0.21431800083605634
36.1971183,5.390344,36.1973068,5.3905133,0.0258867698191966
36.1971183,5.390344,36.1959556,5.3927257,0.24978622494462258
36.1972465,5.3906418,36.1973068,5.3905133,0.013338482599822427
36.1972465,5.3906418,36.1969643,5.3912476,0.06276716206142871
36.1972465,5.3906418,36.1980271,5.3907017,0.11066634026472112
36.1936807,5.3960877,36.1936877,5.3960005,0.007863705829614676
36.1936877,5.3960005,36.1936807,5.3960877,0.007863705829614676
